Application Name,Respondent Role,Rating,Comment,Date,Sentiment
Revenue Collection,Support Staff,4,Impressed with the functionality and ease of use,2025-10-03,Positive
Integrated Budget Management Classic,Supervisor,4,Clean interface and powerful features,2025-08-28,Positive
Service Request System v1,Team Lead,2,"Loading times are ridiculous, kills productivity",2025-09-04,Negative
Integrated Grant Management,IT Staff,4,Solid application that just works,2025-09-22,Positive
Integrated License Management,Department Manager,1,Clunky interface makes simple tasks take forever,2025-06-15,Negative
Benefits Administration System Pro,End User,3,"Gets the job done, nothing special",2025-06-13,Neutral
Human Resources Training (Old),Executive,1,"Too many bugs, feels like it's never been tested",2025-07-14,Negative
Document Management Tool v1,Administrator,2,"Performance is terrible, constantly laggy",2025-07-24,Negative
IT Network Monitoring Classic,End User,2,"Crashes multiple times per week, very unreliable",2025-08-28,Negative
Public Safety Investigation Management v1,End User,1,Costs too much for how rarely we use it,2025-07-25,Negative
Citizen Services Case Management,Department Manager,2,Confusing workflow that makes no sense,2025-06-18,Negative
Performance Management Tool v1,Support Staff,1,"Terrible application, looking for replacement ASAP",2025-08-06,Negative
Complaint Tracking Platform,Director,3,Works okay most of the time,2025-09-15,Neutral
Email Archive Tool,Department Manager,5,Solid application that just works,2025-07-14,Positive
Facility Management System Classic,Support Staff,1,"Can't do half of what we need, very limited",2025-07-05,Negative
Integrated Case Management,Supervisor,3,Could use some improvements but manageable,2025-06-14,Neutral
Inventory Tool,Team Lead,3,"Acceptable for now, considering alternatives",2025-08-05,Neutral
Asset Management System,Supervisor,4,Very reliable and easy to use - saves us a lot of time,2025-11-11,Positive
Human Resources Benefits Administration Enterprise,Administrator,4,Love this system! It's intuitive and fast,2025-09-26,Positive
Asset Management System,Team Lead,2,Waste of money - should retire this immediately,2025-10-24,Negative
Data Warehouse Tool,Executive,3,Works okay most of the time,2025-10-13,Neutral
Email Archive Tool,Administrator,4,This application works great and has everything we need,2025-11-04,Positive
Analytics Platform System,IT Staff,3,Not great but not terrible either,2025-10-25,Neutral
Records Management Email Archive,IT Staff,4,Best application we have - couldn't do without it,2025-07-22,Positive
311 System Platform,Support Staff,5,Solid application that just works,2025-10-18,Positive
Budget Management Tool Classic,Administrator,4,Solid application that just works,2025-10-01,Positive
311 System Platform,Support Staff,3,Serviceable but not ideal,2025-11-02,Neutral
Integrated Facility Management,Support Staff,5,"Works perfectly, no complaints whatsoever",2025-09-19,Positive
Email Archive Tool,Director,3,"Average tool, meets minimum requirements",2025-06-28,Neutral
Public Portal Tool,IT Staff,3,Does the basic functions we need,2025-08-17,Neutral
Public Safety Emergency Dispatch (Old),Department Manager,2,Costs too much for how rarely we use it,2025-06-27,Negative
Asset Management System (Old),Supervisor,3,Functional but a bit outdated,2025-10-03,Neutral
Asset Inventory System,IT Staff,4,Clean interface and powerful features,2025-11-05,Positive
Human Resources Benefits Administration Enterprise,End User,3,"Gets the job done, nothing special",2025-07-30,Neutral
Case Management Platform v1,Support Staff,4,Solid application that just works,2025-06-22,Positive
Training,Executive,2,Worst application in our portfolio,2025-07-13,Negative
Finance Budget Management,IT Staff,1,Data integrity issues - can't trust the information,2025-10-17,Negative
VPN,Team Lead,2,Complete disaster - retire it now,2025-09-04,Negative
Emergency Dispatch Platform,Support Staff,5,Best application we have - couldn't do without it,2025-06-20,Positive
Procurement Tool Pro,Department Manager,2,Downtime is unacceptable for a critical system,2025-07-10,Negative
Integrated Training,Director,5,Excellent tool that has significantly improved our workflow,2025-09-28,Positive
Asset Inventory System,Team Lead,4,Clean interface and powerful features,2025-07-10,Positive
Grant Management,Administrator,1,Horrible experience every time I have to use it,2025-07-16,Negative
Document Management System,Department Manager,5,"Works perfectly, no complaints whatsoever",2025-08-09,Positive
Inventory Tool,IT Staff,5,Clean interface and powerful features,2025-06-18,Positive
Grant Management,IT Staff,5,"Fantastic system, makes my job much easier",2025-09-28,Positive
Service Request System,Support Staff,4,"Works perfectly, no complaints whatsoever",2025-09-09,Positive
Integrated Training,End User,4,"Really helpful tool, very user-friendly",2025-10-28,Positive
Citizen Services Case Management Classic,IT Staff,2,"System goes down frequently, can't count on it",2025-08-27,Negative
Email System System,End User,3,It works but feels dated,2025-11-04,Neutral
Public Portal Tool,Business Analyst,3,"Gets the job done, nothing special",2025-07-17,Neutral
Human Resources Time & Attendance,Administrator,3,Functional but a bit outdated,2025-07-16,Neutral
Revenue Collection Classic,Business Analyst,3,"It works fine, does what it needs to do",2025-06-14,Neutral
Investigation Management System,Support Staff,2,Clunky interface makes simple tasks take forever,2025-06-27,Negative
Finance Revenue Collection,Business Analyst,1,"Nightmare to use, causes daily frustration",2025-10-22,Negative
Public Portal Platform,Team Lead,1,Worst application in our portfolio,2025-06-24,Negative
Human Resources HR Management,Director,2,Complete disaster - retire it now,2025-11-06,Negative
Service Request,Department Manager,1,Outdated - doesn't integrate with anything modern,2025-07-19,Negative
Performance Management Tool Plus,Director,4,Outstanding tool that delivers real value,2025-09-10,Positive
Investigation Management Tool,IT Staff,5,Impressed with the functionality and ease of use,2025-10-08,Positive
Integrated Network Monitoring Pro,Executive,4,Great application - modern interface and reliable performance,2025-09-26,Positive
Asset Inventory System,End User,1,"Unnecessarily complex, needs complete redesign",2025-11-05,Negative
Integrated Procurement,Administrator,4,Clean interface and powerful features,2025-08-29,Positive
Facility Management (New),IT Staff,5,Clean interface and powerful features,2025-08-21,Positive
Fleet Management System,Administrator,3,Works okay most of the time,2025-07-17,Neutral
Accounts Payable Tool,Administrator,3,Serviceable but not ideal,2025-09-20,Neutral
Email Archive (New),Team Lead,5,"Really helpful tool, very user-friendly",2025-08-23,Positive
Compliance Data Warehouse,Administrator,1,Worst application in our portfolio,2025-07-01,Negative
Public Safety Emergency Dispatch,Executive,4,"Works perfectly, no complaints whatsoever",2025-10-11,Positive
Citizen Services Case Management Pro,Support Staff,5,"Works perfectly, no complaints whatsoever",2025-10-07,Positive
Operations Inventory,Department Manager,3,"Acceptable for now, considering alternatives",2025-10-14,Neutral
Citizen Services Case Management Pro,End User,4,"Fantastic system, makes my job much easier",2025-07-30,Positive
Revenue Collection Classic,Department Manager,1,Extremely slow - takes forever to load anything,2025-08-02,Negative
Financial System (Old),IT Staff,1,"Terrible application, looking for replacement ASAP",2025-09-22,Negative
Public Portal Tool,Business Analyst,3,Serviceable but not ideal,2025-08-06,Neutral
Grant Management Platform,Director,1,Outdated - doesn't integrate with anything modern,2025-10-16,Negative
Public Portal Platform,Team Lead,5,Love this system! It's intuitive and fast,2025-09-24,Positive
Content Management Platform,End User,2,"Terrible application, looking for replacement ASAP",2025-08-01,Negative
Integrated Evidence Tracking,Department Manager,2,"Constantly broken, always reporting issues",2025-11-08,Negative
Asset Management System (Old),Department Manager,1,Functionality is bare-bones and inadequate,2025-09-05,Negative
Work Order,Director,3,"Basic functionality works, missing some features",2025-08-10,Neutral
Email Archive System,Department Manager,3,Not great but not terrible either,2025-06-15,Neutral
Integrated Facility Management,Department Manager,3,Serviceable but not ideal,2025-05-30,Neutral
Accounts Payable Tool,IT Staff,3,Does the basic functions we need,2025-07-04,Neutral
Fleet Management System,Department Manager,3,Functional but a bit outdated,2025-11-11,Neutral
Public Safety Emergency Dispatch,Administrator,1,User interface from the 1990s - desperately needs update,2025-11-14,Negative
Budget Management System,Supervisor,2,Worst application in our portfolio,2025-05-31,Negative
Training System,Administrator,2,Functionality is bare-bones and inadequate,2025-06-06,Negative
Integrated Budget Management Classic,Director,1,Worst application in our portfolio,2025-06-07,Negative
Citizen Services Case Management Pro,Executive,4,"Fantastic system, makes my job much easier",2025-07-07,Positive
Integrated Email System,Supervisor,5,Impressed with the functionality and ease of use,2025-08-19,Positive
Citizen Services Service Request,Executive,3,Does the basic functions we need,2025-06-15,Neutral
Human Resources HR Management,IT Staff,1,"Terrible application, looking for replacement ASAP",2025-09-15,Negative
Case Management Tool,Team Lead,3,"Acceptable for now, considering alternatives",2025-06-02,Neutral
IT Identity Management,Director,3,Middle of the road - neither good nor bad,2025-06-20,Neutral
Integrated Procurement,Director,2,Overpriced and underperforming,2025-09-05,Negative
Procurement,Supervisor,2,So slow it's almost unusable during peak hours,2025-09-07,Negative
Asset Management System,IT Staff,1,"Unnecessarily complex, needs complete redesign",2025-08-28,Negative
Accounts Payable Tool Classic,Administrator,1,"System goes down frequently, can't count on it",2025-09-25,Negative
Backup System Tool,Support Staff,1,"Terrible application, looking for replacement ASAP",2025-05-30,Negative
Help Desk,IT Staff,1,Worst application in our portfolio,2025-11-08,Negative
Citizen Services Service Request,IT Staff,5,Excellent tool that has significantly improved our workflow,2025-07-26,Positive
Service Request System,Supervisor,3,It works but feels dated,2025-10-02,Neutral
Email System Platform Plus,Department Manager,3,"It works fine, does what it needs to do",2025-10-12,Neutral
Integrated Digital Signatures,IT Staff,3,"Gets the job done, nothing special",2025-06-08,Neutral
311 System Tool,Support Staff,1,"Unnecessarily complex, needs complete redesign",2025-08-03,Negative
Public Portal Platform,Supervisor,2,Complete disaster - retire it now,2025-06-21,Negative
Integrated Backup System Pro,Administrator,2,"Terrible application, looking for replacement ASAP",2025-09-28,Negative
Complaint Tracking System,Support Staff,3,Not great but not terrible either,2025-06-24,Neutral
Integrated Budget Management,Executive,1,"Freezes constantly, have to restart multiple times daily",2025-09-10,Negative
Procurement Tool Pro,Team Lead,2,"Crashes multiple times per week, very unreliable",2025-10-28,Negative
VPN,Business Analyst,3,"It's fine, no major issues",2025-10-02,Neutral
Case Management System v2,Executive,2,Not worth the cost - should find cheaper alternative,2025-10-08,Negative
Performance Management Tool Plus,Executive,3,Works okay most of the time,2025-10-16,Neutral
Investigation Management System,End User,1,Worst application in our portfolio,2025-09-28,Negative
Case Management System v2,Business Analyst,1,Horrible experience every time I have to use it,2025-07-10,Negative
Public Portal Tool,End User,1,"Absolutely hate this system, it's awful",2025-06-07,Negative
Investigation Management Tool,Supervisor,5,Impressed with the functionality and ease of use,2025-08-04,Positive
Citizen Services Permit System (New),Administrator,5,Very reliable and easy to use - saves us a lot of time,2025-08-12,Positive
Citizen Services Public Portal (New),Support Staff,4,"Really helpful tool, very user-friendly",2025-07-02,Positive
Integrated Investigation Management,Department Manager,3,"Basic functionality works, missing some features",2025-08-06,Neutral
Investigation Management Platform,Director,2,Way too complicated for what it should do,2025-06-13,Negative
Facility Management System,IT Staff,4,Clean interface and powerful features,2025-10-26,Positive
Human Resources HR Management Classic,End User,1,Missing basic features we desperately need,2025-11-17,Negative
Investigation Management Platform Enterprise,Director,5,"Really helpful tool, very user-friendly",2025-05-28,Positive
Email System,Support Staff,2,User interface from the 1990s - desperately needs update,2025-10-31,Negative
Backup System Tool,Director,1,Complete disaster - retire it now,2025-08-10,Negative
Project Management,Team Lead,2,"Absolutely hate this system, it's awful",2025-11-17,Negative
Fleet Management Plus,Team Lead,2,Interface is confusing and not intuitive at all,2025-06-10,Negative
Backup System System,Department Manager,5,Outstanding tool that delivers real value,2025-10-03,Positive
Facility Management System,Team Lead,4,"Works perfectly, no complaints whatsoever",2025-09-07,Positive
VPN Tool,Administrator,5,"Really helpful tool, very user-friendly",2025-09-25,Positive
Integrated Complaint Tracking v1,Team Lead,5,Excellent tool that has significantly improved our workflow,2025-08-12,Positive
Human Resources Training,Executive,2,Way too complicated for what it should do,2025-11-04,Negative
Asset Management System (Old),Department Manager,2,Overpriced and underperforming,2025-06-19,Negative
Integrated Training,End User,3,Works okay most of the time,2025-09-06,Neutral
Human Resources Recruitment,Supervisor,5,Outstanding tool that delivers real value,2025-09-14,Positive
Permit System Tool,Administrator,5,"Fantastic system, makes my job much easier",2025-10-29,Positive
Integrated Backup System Pro,Business Analyst,2,"Constantly broken, always reporting issues",2025-07-04,Negative
Citizen Services Case Management Classic,End User,2,"Performance is terrible, constantly laggy",2025-10-21,Negative
Performance Management Tool v1,Business Analyst,3,Does the basic functions we need,2025-06-07,Neutral
Asset Inventory System,Support Staff,1,"Unnecessarily complex, needs complete redesign",2025-10-02,Negative
Email Archive Platform,Department Manager,2,System is painfully slow and frequently times out,2025-08-10,Negative
Employee Portal,Business Analyst,3,"Gets the job done, nothing special",2025-09-16,Neutral
Public Portal Platform,Administrator,3,Not great but not terrible either,2025-10-19,Neutral
Emergency Dispatch Platform,End User,2,"Absolutely hate this system, it's awful",2025-10-27,Negative
Investigation Management System,Department Manager,3,"Basic functionality works, missing some features",2025-07-16,Neutral
Human Resources HR Management,Team Lead,3,"It's fine, no major issues",2025-07-01,Neutral
Facility Management System,Team Lead,4,Outstanding tool that delivers real value,2025-05-31,Positive
Investigation Management Tool,Executive,5,This application works great and has everything we need,2025-08-02,Positive
Asset Management System (Old),Supervisor,3,Middle of the road - neither good nor bad,2025-06-30,Neutral
Analytics Platform,Team Lead,4,Best application we have - couldn't do without it,2025-10-23,Positive
Document Management System,End User,4,"Works perfectly, no complaints whatsoever",2025-07-04,Positive
Benefits Administration System v1,Support Staff,4,Very efficient and well-designed,2025-11-13,Positive
Backup System System,Supervisor,4,Best application we have - couldn't do without it,2025-11-05,Positive
Asset Management System (Old),End User,2,User interface from the 1990s - desperately needs update,2025-07-13,Negative
Inventory Tool,IT Staff,4,Great application - modern interface and reliable performance,2025-05-29,Positive
Document Management Platform Enterprise,Department Manager,4,This application works great and has everything we need,2025-07-25,Positive
Citizen Services Case Management Classic,Executive,2,"Crashes multiple times per week, very unreliable",2025-11-03,Negative
Benefits Administration System Pro,Support Staff,2,Not worth the cost - should find cheaper alternative,2025-05-30,Negative
Budget Management System,Supervisor,4,Clean interface and powerful features,2025-08-02,Positive
Complaint Tracking Platform,Team Lead,3,Could use some improvements but manageable,2025-09-09,Neutral
Work Order,Business Analyst,3,"Basic functionality works, missing some features",2025-08-27,Neutral
Integrated Evidence Tracking,Administrator,1,"Performance is terrible, constantly laggy",2025-10-02,Negative
Integrated Evidence Tracking,Administrator,2,Confusing workflow that makes no sense,2025-09-30,Negative
Case Management,Executive,4,Very efficient and well-designed,2025-08-17,Positive
Public Safety Emergency Dispatch,Department Manager,1,Way too complicated for what it should do,2025-06-20,Negative
Integrated Backup System Pro,Support Staff,1,"Performance is terrible, constantly laggy",2025-08-09,Negative
Integrated Complaint Tracking v1,Supervisor,4,Love this system! It's intuitive and fast,2025-06-30,Positive
Benefits Administration,Team Lead,4,Impressed with the functionality and ease of use,2025-10-20,Positive
Backup System Tool,End User,3,Not great but not terrible either,2025-10-08,Neutral
Asset Inventory System,Team Lead,2,User interface from the 1990s - desperately needs update,2025-11-06,Negative
Finance Revenue Collection,Department Manager,3,Works okay most of the time,2025-11-15,Neutral
Fleet Management Plus,Team Lead,2,Worst application in our portfolio,2025-11-06,Negative
VPN,Director,1,"Terrible application, looking for replacement ASAP",2025-05-23,Negative
Integrated Audit Management,Support Staff,3,"It works fine, does what it needs to do",2025-10-19,Neutral
Complaint Tracking Tool Plus,End User,2,"Performance is terrible, constantly laggy",2025-10-25,Negative
Email System Tool,IT Staff,2,"System goes down frequently, can't count on it",2025-09-19,Negative
Email System System,Executive,4,This application works great and has everything we need,2025-09-11,Positive
Performance Management Tool Plus,Executive,3,Adequate for our needs but could be better,2025-08-25,Neutral
Email System System,Team Lead,4,Very efficient and well-designed,2025-07-21,Positive
Investigation Management System,Administrator,3,"Acceptable for now, considering alternatives",2025-06-01,Neutral
Investigation Management,End User,3,Works okay most of the time,2025-05-30,Neutral
VPN Tool,Supervisor,3,Does the basic functions we need,2025-10-02,Neutral
Citizen Services Public Portal (New),Administrator,4,Solid application that just works,2025-09-28,Positive
Procurement,Director,3,"It's fine, no major issues",2025-07-22,Neutral
Integrated Investigation Management,End User,1,Horrible experience every time I have to use it,2025-06-11,Negative
GIS Mapping System,End User,1,"Absolutely hate this system, it's awful",2025-07-09,Negative
Financial System,Team Lead,5,"Works perfectly, no complaints whatsoever",2025-06-20,Positive
Payroll,Department Manager,1,Needs major feature updates to be useful,2025-10-24,Negative
Service Request System,Supervisor,1,Missing critical features that competitors have,2025-06-01,Negative
Case Management Platform,Executive,3,Functional but a bit outdated,2025-07-17,Neutral
Employee Portal Tool,Director,2,Interface is confusing and not intuitive at all,2025-07-20,Negative
Finance Budget Management Enterprise,IT Staff,3,"It's fine, no major issues",2025-08-02,Neutral
Operations Inventory,Team Lead,3,"Gets the job done, nothing special",2025-09-24,Neutral
Integrated License Management,Support Staff,1,"Unnecessarily complex, needs complete redesign",2025-11-16,Negative
Asset Inventory Platform,Executive,1,Missing basic features we desperately need,2025-06-19,Negative
Asset Management System,Team Lead,2,"Unnecessarily complex, needs complete redesign",2025-11-06,Negative
Integrated Case Management v1,Business Analyst,2,"System goes down frequently, can't count on it",2025-05-27,Negative
Facility Management System,Director,3,Functional but a bit outdated,2025-06-28,Neutral
Complaint Tracking Tool Plus,Business Analyst,2,So slow it's almost unusable during peak hours,2025-06-07,Negative
IT Identity Management Plus,Support Staff,3,It works but feels dated,2025-08-11,Neutral
Integrated Work Order (New),IT Staff,3,"Basic functionality works, missing some features",2025-11-15,Neutral
Benefits Administration System v1,Department Manager,3,"It works fine, does what it needs to do",2025-07-06,Neutral
Email System Platform Plus,Administrator,1,Needs major feature updates to be useful,2025-07-17,Negative
Budget Management Platform Plus,Support Staff,2,Overpriced and underperforming,2025-09-01,Negative
Revenue Collection Classic,Team Lead,4,Appreciate how reliable and fast this is,2025-10-26,Positive
Reporting Dashboard,Business Analyst,3,"Average tool, meets minimum requirements",2025-11-03,Neutral
Integrated Network Monitoring Pro,Support Staff,5,Best application we have - couldn't do without it,2025-09-01,Positive
Identity Management,Director,1,Needs major feature updates to be useful,2025-08-20,Negative
Financial System (Old),Director,1,Worst application in our portfolio,2025-07-21,Negative
Human Resources Training (Old),Supervisor,3,Middle of the road - neither good nor bad,2025-08-17,Neutral
Document Management,Director,5,This application works great and has everything we need,2025-10-07,Positive
Case Management Tool,Executive,5,Best application we have - couldn't do without it,2025-10-02,Positive
Integrated Procurement,Department Manager,1,"Unnecessarily complex, needs complete redesign",2025-11-14,Negative
Accounts Payable Tool Classic,Team Lead,1,Budget drain with minimal return on investment,2025-10-09,Negative
Integrated Grant Management,Department Manager,1,"Nightmare to use, causes daily frustration",2025-08-28,Negative
Budget Management System,Director,4,Excellent tool that has significantly improved our workflow,2025-11-14,Positive
Citizen Services Case Management Pro,IT Staff,5,Outstanding tool that delivers real value,2025-10-16,Positive
Integrated Accounts Payable,Administrator,5,This application works great and has everything we need,2025-07-16,Positive
Budget Management Tool Classic,Support Staff,3,Could use some improvements but manageable,2025-11-06,Neutral
Integrated Evidence Tracking,Administrator,2,Waste of money - should retire this immediately,2025-07-16,Negative
Evidence Tracking Platform v1,Administrator,4,Very efficient and well-designed,2025-06-02,Positive
Finance Revenue Collection,Executive,4,Excellent tool that has significantly improved our workflow,2025-05-25,Positive
Benefits Administration System Pro,Support Staff,2,"Very difficult to navigate, poor user experience",2025-08-06,Negative
Human Resources Benefits Administration,Team Lead,3,Serviceable but not ideal,2025-08-30,Neutral
Employee Portal,Supervisor,1,"Nightmare to use, causes daily frustration",2025-09-30,Negative
Public Safety Investigation Management,Team Lead,1,Functionality is bare-bones and inadequate,2025-08-21,Negative
Integrated Backup System Pro,Director,2,"Absolutely hate this system, it's awful",2025-06-13,Negative
Integrated Budget Management Classic,Support Staff,3,It works but feels dated,2025-09-21,Neutral
IT Network Monitoring Classic,Administrator,2,"Constantly broken, always reporting issues",2025-06-05,Negative
Document Management System,Administrator,4,Solid application that just works,2025-08-29,Positive
Public Portal Tool,Administrator,3,It works but feels dated,2025-06-27,Neutral
311 System Platform,Executive,5,"Really helpful tool, very user-friendly",2025-07-14,Positive
Asset Inventory Tool,Administrator,3,Middle of the road - neither good nor bad,2025-06-14,Neutral
Grant Management,Team Lead,4,Outstanding tool that delivers real value,2025-07-28,Positive
GIS Mapping System,Team Lead,2,Functionality is bare-bones and inadequate,2025-10-10,Negative
Performance Management Platform,Team Lead,1,"Nightmare to use, causes daily frustration",2025-09-16,Negative
Grant Management Platform,Team Lead,2,Horrible experience every time I have to use it,2025-09-03,Negative
Public Safety Emergency Dispatch,Executive,1,"Absolutely hate this system, it's awful",2025-10-01,Negative
Public Safety Investigation Management,Support Staff,3,Could use some improvements but manageable,2025-11-05,Neutral
Operations Inventory,Supervisor,4,Impressed with the functionality and ease of use,2025-09-02,Positive
Performance Management Platform,Administrator,3,Not great but not terrible either,2025-10-01,Neutral
Public Safety Investigation Management v1,Department Manager,5,Solid application that just works,2025-07-13,Positive
Inventory Tool,Team Lead,5,Very reliable and easy to use - saves us a lot of time,2025-11-06,Positive
311 System Platform,Department Manager,5,Very efficient and well-designed,2025-11-08,Positive
Backup System Platform,Support Staff,2,"Terrible application, looking for replacement ASAP",2025-07-09,Negative
Audit Management Platform,Support Staff,3,"Gets the job done, nothing special",2025-06-02,Neutral
Payroll,Supervisor,2,"Crashes multiple times per week, very unreliable",2025-10-08,Negative
IT Asset Inventory Plus,Administrator,1,Lacks essential functionality for our work,2025-09-26,Negative
Public Safety Investigation Management,Team Lead,2,Needs major feature updates to be useful,2025-08-30,Negative
Facility Management Tool,Executive,3,Functional but a bit outdated,2025-11-04,Neutral
