Project ID,Project Name,Corridor,Area,District,Project Type,Current Phase,Project Manager,Department,External Partners,Planned Start,Planned End,Actual Start,Actual End,Percent Complete,Total Budget,Spent to Date,Forecast at Completion,Strategic Alignment,Safety Benefit,Congestion Relief,Economic Development,Resilience Benefit,ROW Readiness,Utility Readiness,Permit Readiness,Design Completeness,Funding Certainty,Overall Risk Rating,Public Sentiment,TIP ID,LRTP Reference,Notes
CP-2024-011,NE 14th Street Reconstruction,NE 14th St,Ocala,2,Resurfacing,Procurement/Letting,Amanda White,County Engineer,City of Ocala,2024-05-01,2025-02-28,,,0,4100000,180000,4100000,7,7,6,6,5,10,9,10,100,9,3,Neutral,TIP-2024-028,,Ready for bid advertisement
CP-2024-012,CR 316 Capacity Improvements,CR 316,Fort McCoy,5,Road Widening,Feasibility/Planning,Christopher Lee,County Engineer,FDOT,2024-08-01,2028-06-30,,,10,22000000,850000,22000000,8,6,8,7,5,4,5,4,30,6,5,Neutral,TIP-2025-008,LRTP-2040-018,Long-term capacity project
CP-2024-013,SE Maricamp Rd Drainage,SE Maricamp Rd,Ocala,4,Stormwater,Design,Nancy Clark,County Engineer,,2024-03-01,2025-04-30,2024-03-20,,40,1850000,520000,1900000,5,4,3,4,9,9,7,6,70,8,4,Neutral,,,Flooding mitigation project
CP-2024-014,US 301 & CR 318 Roundabout,US 301,Citra,5,Intersection Improvement,Right-of-Way Acquisition,Daniel Harris,County Engineer,FDOT,2024-02-15,2025-11-30,2024-03-01,,25,5600000,890000,5800000,8,9,7,6,4,5,6,8,60,7,6,Positive,TIP-2024-021,LRTP-2040-014,Community support for roundabout
CP-2024-015,W Silver Springs Blvd Resurfacing,W Silver Springs Blvd,Ocala,1,Resurfacing,Final Acceptance/Closeout,Patricia Young,County Engineer,City of Ocala,2023-03-01,2024-02-29,2023-03-15,2024-03-10,100,5200000,5180000,5180000,7,6,6,7,4,10,10,10,100,10,1,Positive,TIP-2023-045,,Project complete - warranty period
CP-2024-016,NW 35th St Extension,NW 35th St,Ocala,2,New Road Construction,Concept/Idea,Richard King,County Engineer,MPO,2026-01-01,2029-06-30,,,0,15800000,120000,15800000,7,5,7,8,5,2,2,2,5,4,7,Neutral,TIP-2026-002,LRTP-2040-025,Future development area
CP-2024-017,CR 42 Bridge Rehabilitation,CR 42,Weirsdale,4,Bridge,Design,Sandra Wright,County Engineer,FDOT,2024-04-01,2025-10-31,2024-04-15,,35,3800000,780000,3950000,6,7,5,5,6,8,7,7,60,8,4,Neutral,TIP-2024-030,,Bridge deck replacement
CP-2024-018,SE 110th St Paving,SE 110th St,Belleview,4,Resurfacing,Active Construction,Mark Lopez,County Engineer,,2024-02-01,2024-07-31,2024-02-20,,80,1600000,1320000,1580000,5,5,4,4,3,10,10,10,100,10,2,Positive,,,On schedule and budget
CP-2024-019,NE 35th Ave Multiuse Trail,NE 35th Ave,Silver Springs,2,Sidewalk/Trail,Permitting/Utility Coordination,Elizabeth Hill,County Engineer,"FDOT, SWFWMD",2024-05-01,2025-08-31,2024-05-15,,30,2200000,420000,2350000,6,7,3,5,6,7,5,4,55,7,5,Positive,TIP-2024-032,,Environmental permitting ongoing
CP-2024-020,US 441 Widening - South,US 441,Belleview,4,Road Widening,Feasibility/Planning,James Scott,County Engineer,"FDOT, City of Belleview",2025-01-01,2029-12-31,,,5,45000000,1200000,45000000,9,8,9,9,6,3,4,3,15,5,7,Positive,TIP-2026-001,LRTP-2040-003,Major corridor - federal funding pending
